"Date:","5/12/2024 12:24:48 PM"
"Tool:","Eeschema 7.0.7"
"Component Count:","92"
"Ref","Qnty","MPN"
"C1, C2, C5, C9, C10, C11, C12, C14, C17, C18","10","GPC0603104-25 ",""
"C3","1","875115150005",""
"C4","1","875115652007",""
"C6, C7","2","GPC0603475-10 ",""
"C8, C13","2","GPC0603101",""
"C15, C16","2","GPC0603105-16",""
"D1","1","RB521S30T1G",""
"D2, D3, D4","3","S1A-13-F",""
"D5","1","SML-D12D8WT86C",""
"D6","1","150060BS55040",""
"FL2","1","MLPF-WB55-01E3",""
"J1","1","B6B-XH-A(LF)(SN)",""
"J2","1","61304021121",""
"J3, J4, J7, J9","4","B3B-XH-A(LF)(SN) ",""
"J5, J8, J11, J16, J17, J18, J19","7","B2B-XH-A(LF)(SN) ",""
"J6","1","60312202114509",""
"J10","1","B4B-XH-A(LF)(SN)",""
"J13","1","B5B-XH-A(LF)(SN)",""
"J14","1","61300621121",""
"J15","1","ZX62D-B-5PA8(30)",""
"J20, J21","2","691102710002",""
"J22, J23, J24, J25, J26, J27","6","B4B-XH-A(LF)(SN) ",""
"JP5","1","61300311121",""
"L1","1","LBR2012T100K",""
"PS1","1","LD39050PU33R",""
"Q1, Q2, Q3, Q4, Q5","5","IRLML6344TRPBF",""
"R1, R2, R3, R4, R5, R7, R8, R9, R10, R12, R24","11","GPR060310K",""
"R6, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23","12","GPR06031K",""
"R11, R27","2","GPR0603180R",""
"SW1, SW2, SW3, SW4, SW5","5","430156043726",""
"U1","1","USBLC6-2SC6",""
"U2","1","STM32WB55RGV6",""
"Y1","1","NX2016SA-32M-EXS00A-CS06465",""
